,Date Received,Product Name,Sub Product,Issue,Sub Issue,Consumer Complaint Narrative,Company Public Response,Company,State Name,Zip Code,Tags,Consumer Consent Provided,Submitted via,Date Sent to Company,Company Response to Consumer,Timely Response,Consumer Disputed,Complaint ID
0,2013-07-29,Consumer Loan,Vehicle loan,Managing the loan or lease,,1.9594994691175354,-1.0059184326391428,Wells Fargo & Company,VA,24540.0,,47.23031793961085,Phone,2013-07-30,Closed with explanation,Yes,No,468882
1,2013-07-29,Bank account or service,Checking account,Using a debit or ATM card,,3.088140482472291,-1.627802304937208,Wells Fargo & Company,CA,95992.0,Older American,94.12362900277958,Web,2013-07-31,Closed with explanation,Yes,No,468889
2,2013-07-29,Bank account or service,Checking account,"Account opening, closing, or management",,1.5404146493459523,-0.5179815318641214,Santander Bank US,NY,10065.0,,54.797696204820184,Fax,2013-07-31,Closed,Yes,No,468879
3,2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,0.5291384613610857,-1.6844421073377145,Wells Fargo & Company,GA,30084.0,,24.592621184470833,Web,2013-07-30,Closed with explanation,Yes,No,468949
4,2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,0.8079983170527354,-1.4228368045764377,Franklin Credit Management,CT,6106.0,,34.089013407071306,Web,2013-07-30,Closed with explanation,Yes,No,475823
5,2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,0.9303197596393107,-1.488952731681929,Bank of America,TX,75025.0,,78.0106094656511,Web,2013-07-30,Closed with explanation,Yes,No,468981
6,2013-07-29,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,1.6155712129112043,-1.3507877316205597,"NRA Group, LLC",VA,20147.0,,76.36590091339885,Web,2013-08-07,Closed with non-monetary relief,Yes,No,467801
7,2013-07-29,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,1.3455796600882983,-1.1654075873433247,"SunTrust Banks, Inc.",FL,32818.0,,75.76583316420523,Referral,2013-08-01,Closed with explanation,Yes,Yes,475728
8,2013-07-29,Credit card,,Billing statement,,0.5972772282026344,-1.5809394865289004,Citibank,OH,45247.0,,96.43042614213564,Referral,2013-07-30,Closed with explanation,Yes,Yes,469026
9,2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,3.326247030923504,-1.7400744796160599,Wells Fargo & Company,NV,89511.0,,82.76251583280472,Referral,2013-07-30,Closed with explanation,Yes,Yes,469035
10,2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,1.4985964505448268,-6.117955913439522,Bank of America,NC,27949.0,,9.168667731464504,Referral,2013-07-30,Closed with non-monetary relief,Yes,No,469037
11,2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,1.6193185036795084,-0.8921256245849432,JPMorgan Chase & Co.,CA,90703.0,,33.0521134806165,Referral,2013-07-30,Closed with explanation,Yes,No,469284
12,2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,0.8116124078153435,-0.8966332782877429,Citibank,CA,95821.0,,99.7333682637624,Referral,2013-07-31,Closed with explanation,Yes,Yes,480488
13,2013-07-29,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,1.8056394671221294,-1.8474829621341649,"Asset Management Professionals, LLC",PA,19145.0,Older American,53.70161806850811,Phone,2013-08-01,Closed with explanation,No,,468904
14,2013-07-29,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,0.5310052452398071,-1.356524121957246,Wells Fargo & Company,PA,19145.0,Older American,41.237745764955164,Phone,2013-08-01,Closed with non-monetary relief,Yes,No,468905
15,2013-07-29,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,0.5188752692557919,-0.7266633536927701,JPMorgan Chase & Co.,NY,14092.0,,2.596055415512315,Phone,2013-07-31,Closed with explanation,Yes,No,469057
16,2013-07-29,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,1.0230824114577377,-0.6257567198028793,Ocwen,FL,33426.0,,75.21890965888531,Web,2013-07-31,Closed with explanation,Yes,Yes,469060
17,2013-07-29,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,3.4229460184160687,-0.5494268840601622,JPMorgan Chase & Co.,NY,10019.0,,75.99552287855926,Web,2013-07-30,Closed with explanation,Yes,Yes,469070
18,2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,1.5979579949356755,-1.5512662624567068,Citibank,NJ,7604.0,,70.80950703585164,Web,2013-07-30,Closed with explanation,Yes,No,472236
19,2013-07-29,Credit card,,APR or interest rate,,1.3443554265201147,-1.8652689278051908,Synchrony Financial,WA,98548.0,,11.30717678151938,Web,2013-07-29,Closed with monetary relief,Yes,No,469131
20,2013-07-29,Credit reporting,,Credit monitoring or identity protection,Problem cancelling or closing account,1.649617167661139,-0.7130449059758703,Experian,CA,90034.0,,50.76479379344515,Web,2013-07-29,Closed with monetary relief,Yes,No,474204
21,2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,2.8320012721724397,-1.1013538902098237,Bank of America,HI,96793.0,,84.38080514018294,Web,2013-07-31,Closed with explanation,Yes,No,469138
22,2013-07-29,Mortgage,Other mortgage,"Application, originator, mortgage broker",,2.4613497635856993,-2.184506084903398,JPMorgan Chase & Co.,FL,32825.0,,85.84521129012937,Postal mail,2013-07-30,Closed with explanation,Yes,No,469143
23,2013-07-29,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,1.805310761932473,-1.1562387378483556,Wells Fargo & Company,NY,10605.0,,30.823554489750666,Web,2013-07-31,Closed with non-monetary relief,Yes,No,480173
24,2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,1.4631276537130944,-0.5982925092022254,Ocwen,NY,14467.0,,53.63637656304577,Referral,2013-07-30,Closed with explanation,Yes,Yes,469360
25,2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,1.280179728312205,-1.0470219288251794,U.S. Bancorp,CA,92591.0,,90.38090031339932,Referral,2013-07-31,Closed with monetary relief,Yes,No,469632
26,2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",,2.115814285969291,-0.5706117642343148,Bank of America,IL,60443.0,,19.52963203158537,Web,2013-08-01,Closed with explanation,Yes,No,469173
27,2013-07-29,Bank account or service,Other bank product/service,Deposits and withdrawals,,0.5149110096380087,-0.9122547585111768,Wells Fargo & Company,CA,96088.0,,22.267979528959966,Web,2013-08-01,Closed with explanation,Yes,No,469185
28,2013-07-29,Credit reporting,,Incorrect information on credit report,Public record,1.4466384472785885,-0.9639826184182605,Equifax,CA,91605.0,,24.48840031351584,Web,2013-07-29,Closed with non-monetary relief,Yes,No,469201
29,2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,1.7387526102020576,-1.0546041420568546,"Navient Solutions, Inc.",OH,45150.0,,23.045451043388578,Web,2013-07-30,Closed with explanation,Yes,No,469210
30,2013-07-29,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,1.488681123777702,-0.9131105053080338,"Northland Group, Inc.",FL,32233.0,Servicemember,29.721234335416163,Referral,2013-08-01,Closed with explanation,Yes,No,469252
31,2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,1.7509379088081813,-0.5797913243648872,"SunTrust Banks, Inc.",FL,32084.0,,78.02952458321143,Referral,2013-08-02,Closed with non-monetary relief,Yes,No,469863
32,2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,1.8352154129938312,-1.4218193237372736,Bank of America,FL,33234.0,,92.7583088428656,Web,2013-07-30,Closed with non-monetary relief,Yes,No,469255
33,2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,1.4917399259406368,-1.1872715996423264,"SunTrust Banks, Inc.",FL,32505.0,,19.972335295873762,Referral,2013-08-02,Closed,Yes,No,469811
34,2013-07-29,Consumer Loan,Vehicle loan,Managing the loan or lease,,2.45716437967199,-1.0272942236479636,Santander Consumer USA Holdings Inc,CA,92677.0,,31.438002849790028,Referral,2013-08-05,Closed,Yes,Yes,479329
35,2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,1.5578536811729093,-1.333304353132437,Land/Home Financial Services,MI,48382.0,,76.82132299054675,Fax,2013-08-06,Closed with explanation,No,,454668
36,2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,1.8305506797750282,-0.8476057916296323,JPMorgan Chase & Co.,NJ,8530.0,,32.676843504223186,Postal mail,2013-07-30,Closed with monetary relief,Yes,No,475273
37,2013-07-29,Credit card,,Delinquent account,,3.1136279686315804,-3.595608012152346,Amex,TX,78232.0,,91.7117751595626,Web,2013-07-29,Closed with monetary relief,Yes,No,479990
38,2013-07-29,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,1.275758199374338,-1.19876461789248,Nationstar Mortgage,GA,30041.0,,94.00342948458757,Web,2013-07-30,Closed with explanation,Yes,No,469293
39,2013-07-29,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,1.3182966006674621,-1.560776455768853,Wells Fargo & Company,TX,77381.0,,21.474605380249336,Postal mail,2013-07-30,Closed with explanation,Yes,No,469309
40,2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,0.6264017001505455,-0.8403214306818103,Ocwen,MA,2368.0,,63.94463593674782,Web,2013-07-30,Closed with explanation,Yes,No,469334
41,2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,1.3016579800120087,-1.1603319118799282,"Navient Solutions, Inc.",FL,33133.0,,38.285266801925104,Web,2013-07-30,Closed with explanation,Yes,No,469340
42,2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,0.9432390780025468,-1.4588173022107145,CIT Bank National Association,NY,11101.0,,48.39753504345679,Web,2013-07-31,Closed with explanation,Yes,No,469487
43,2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,6.054248389674579,-2.780566221247828,Bank of America,CA,91701.0,,53.41323128479745,Web,2013-08-01,Closed with explanation,Yes,No,469394
44,2013-07-29,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,1.3558734583562417,-1.4036360380546107,"Alpine Financial Solutions, Inc.",KY,42303.0,Older American,32.43918995602567,Postal mail,2013-12-04,Closed with explanation,Yes,No,469408
45,2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,1.6957581094536294,-0.8815361709149643,Ditech Financial LLC,TN,37218.0,,28.075225673661087,Web,2013-07-30,Closed with explanation,Yes,No,469411
46,2013-07-29,Bank account or service,Checking account,Problems caused by my funds being low,,0.7985437498510297,-1.2663410586946862,Wells Fargo & Company,NJ,8618.0,Older American,4.7579512200655385,Phone,2013-07-30,Closed with explanation,Yes,No,469414
47,2013-07-29,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,0.5799192863404521,-0.8190631472433627,Citibank,GA,30135.0,,96.93876043186799,Web,2013-07-30,Closed with explanation,Yes,No,469423
48,2013-07-29,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,3.122074248702739,-3.835433302340418,Equifax,MO,64725.0,,56.38567115714929,Fax,2013-07-29,Closed with explanation,Yes,No,479282
49,2013-07-29,Mortgage,Conventional fixed mortgage,Settlement process and costs,,0.9968875006414839,-1.4983237838772134,U.S. Bancorp,MN,55414.0,,35.64679582010856,Web,2013-08-01,Closed with non-monetary relief,Yes,No,469428
50,2013-07-29,Credit card,,Billing disputes,,2.4672401352108695,-1.279925676849747,Capital One,FL,32226.0,Servicemember,8.641107881545553,Web,2013-07-29,Closed with explanation,Yes,No,475777
51,2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,2.681434366757229,-2.170989178787147,Wells Fargo & Company,CA,92277.0,,74.88565457650655,Web,2013-08-05,Closed with explanation,Yes,No,469446
52,2013-07-29,Bank account or service,Checking account,"Account opening, closing, or management",,1.5441886077875506,-0.8551503591607685,First Tennessee Bank,TN,37806.0,Servicemember,67.26770026527403,Phone,2013-07-30,Closed with explanation,Yes,Yes,469447
53,2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,0.6571626968946931,-1.8782102779605048,Discover,MA,2043.0,,16.3194461129172,Web,2013-07-30,Closed with explanation,Yes,No,467427
54,2013-07-29,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,0.5627266966861468,-1.1736550021578385,Wells Fargo & Company,CA,91741.0,,38.79577268382792,Phone,2013-07-30,Closed with explanation,Yes,No,464039
55,2013-07-29,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,2.1434199281026616,-1.9040913472836938,Bank of America,CA,91320.0,,64.92008861908522,Web,2013-07-31,Closed with explanation,Yes,No,469461
56,2013-07-29,Credit card,,Credit line increase/decrease,,0.8072678834631712,-2.094935326726251,Citibank,WI,53066.0,Older American,31.324538559622763,Phone,2013-07-30,Closed with explanation,Yes,Yes,469473
57,2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,1.021576367438586,-0.8461935375399703,Ocwen,CA,95765.0,,98.68751208618312,Web,2013-07-30,Closed with explanation,Yes,Yes,469479
58,2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,0.6832702008415416,-1.2300636336638893,CIT Bank National Association,CA,95363.0,,90.38209944086547,Phone,2013-07-31,Closed,Yes,No,469499
59,2013-07-29,Debt collection,Credit card,Communication tactics,Threatened to take legal action,1.1621520450263496,-1.2176585153951476,"Borenstein & Associates, LLC",WY,82605.0,,29.45831497457341,Web,2013-09-17,Closed,Yes,No,469501
60,2013-07-29,Mortgage,Conventional fixed mortgage,Settlement process and costs,,0.629125520784321,-0.8095560615923382,"Houston Home Loan, Inc.",TX,77386.0,,86.85129054386599,Web,2013-08-30,Closed with explanation,Yes,Yes,469513
61,2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,0.5361085544034762,-0.5211832504757073,Ocwen,NY,10038.0,,4.427921329656805,Web,2013-08-13,Closed,Yes,No,480183
62,2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,0.719982202300676,-1.9322156487760769,Ocwen,VA,24112.0,Older American,66.9321388043954,Web,2013-07-30,Closed with explanation,Yes,No,469525
63,2013-07-29,Bank account or service,Other bank product/service,Problems caused by my funds being low,,1.201918846972061,-4.0322005129836676,Bank of America,NY,11716.0,"Older American, Servicemember",79.66504774072634,Phone,2013-08-01,Closed with explanation,Yes,No,469537
64,2013-07-29,Credit reporting,,Incorrect information on credit report,Information is not mine,0.9888780858657645,-1.4596712164658383,"Fidelity National Information Services, Inc. (FNIS)",CT,6514.0,,14.173745297757288,Referral,2013-08-21,Closed with explanation,Yes,No,469507
65,2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,1.4361344841769275,-1.2046778978259607,People's United Bank,CT,6514.0,,93.23484674314584,Referral,2013-07-31,Closed with explanation,Yes,No,469508
66,2013-07-29,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,1.0508934906038139,-2.909654467077757,"Citizens Financial Group, Inc.",VT,5770.0,Servicemember,71.35183196843823,Web,2013-08-01,Closed with non-monetary relief,Yes,No,469589
67,2013-07-30,Consumer Loan,Vehicle lease,Managing the loan or lease,,1.280745274573042,-0.7200879331141511,Ally Financial Inc.,MI,48238.0,,86.83388835697627,Fax,2013-08-01,Closed with explanation,Yes,No,469241
68,2013-07-29,Consumer Loan,Vehicle lease,Managing the loan or lease,,0.5750900507651602,-0.5822504495137926,"Asset Management Outsourcing, Inc.",NY,11030.0,,94.68738628529485,Web,2013-07-31,Closed with explanation,Yes,No,469606
69,2013-07-30,Credit card,,Payoff process,,1.4714810173901307,-0.5790983185659527,Wells Fargo & Company,NV,89108.0,Servicemember,3.6108484101692326,Phone,2013-08-02,Closed with explanation,Yes,No,470828
70,2013-07-30,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,3.180766349593333,-1.2690749244599377,Bank of America,CA,95219.0,,31.53828910708172,Web,2013-07-31,Closed with non-monetary relief,Yes,No,470831
71,2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,1.423945187850641,-1.3118279098010879,TD Bank US Holding Company,NJ,7656.0,,97.75635034805157,Postal mail,2013-07-31,Closed with monetary relief,Yes,No,480463
72,2013-07-29,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,3.307811505539881,-0.6572086463711793,"TransUnion Intermediate Holdings, Inc.",CO,80247.0,,89.19457637380285,Web,2013-07-29,Closed with non-monetary relief,Yes,No,479873
73,2013-07-30,Bank account or service,Checking account,Using a debit or ATM card,,0.5539381908369688,-1.1969859122981377,JPMorgan Chase & Co.,NY,11772.0,,50.438964102875765,Web,2013-08-01,Closed with explanation,Yes,No,472678
74,2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,1.2268957237349498,-0.554971337906186,Wells Fargo & Company,FL,33326.0,,43.52827935773581,Web,2013-07-31,Closed with explanation,Yes,No,469641
75,2013-07-30,Bank account or service,Savings account,Deposits and withdrawals,,2.6010083668997876,-0.6079356881909003,JPMorgan Chase & Co.,NY,10469.0,,7.767860451782655,Web,2013-08-01,Closed with explanation,Yes,No,470665
76,2013-07-30,Credit card,,Closing/Cancelling account,,2.688874772649118,-2.3834594977377392,Citibank,TX,78249.0,,54.88291893200913,Web,2013-07-30,Closed with explanation,Yes,Yes,470852
77,2013-07-31,Bank account or service,Checking account,"Account opening, closing, or management",,2.1167429813401997,-1.734291833534427,Wells Fargo & Company,GA,30680.0,,44.82070425747419,Web,2013-08-01,Closed with non-monetary relief,Yes,Yes,470863
78,2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,3.5829394469272944,-0.5177742627643274,Bank of America,MI,49042.0,,41.25757874557278,Referral,2013-08-02,Closed with explanation,Yes,No,469653
79,2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,0.9696080386558863,-0.782277660122237,Ocwen,NY,11230.0,,53.51520870032122,Referral,2013-07-30,Closed with explanation,Yes,No,455630
80,2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,3.9733265297927023,-0.8062734759249431,Wells Fargo & Company,CA,95020.0,,30.943282914326915,Referral,2013-07-31,Closed with explanation,Yes,No,469660
81,2013-07-29,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,0.7303816905019924,-4.502150153420472,JPMorgan Chase & Co.,AZ,85138.0,,78.62746971537901,Referral,2013-07-30,Closed with explanation,Yes,Yes,467092
82,2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,1.2179908876551548,-1.8440547010060693,Wells Fargo & Company,NY,10803.0,,14.66557649573294,Referral,2013-07-30,Closed with explanation,Yes,Yes,469664
83,2013-07-29,Credit reporting,,Incorrect information on credit report,Account status,1.3902581473354123,-0.7129444001626093,Ocwen,MA,2126.0,,66.92164841632875,Referral,2013-08-01,Closed,Yes,No,469666
84,2013-07-31,Credit card,,Billing statement,,1.2853888512475684,-0.5598628719410891,JPMorgan Chase & Co.,DE,19809.0,,5.810546493398559,Web,2013-07-30,Closed with monetary relief,Yes,No,479338
85,2013-07-31,Bank account or service,Checking account,Deposits and withdrawals,,1.6684734610951482,-2.036500838247508,Santander Bank US,NJ,7106.0,,64.7276580531543,Web,2013-08-01,Closed with explanation,Yes,No,470903
86,2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,1.1054959417939156,-0.6920206476828157,HSBC North America Holdings Inc.,OH,44112.0,Older American,6.378507048133022,Phone,2013-07-30,Closed with explanation,Yes,No,469669
87,2013-07-29,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,1.4560236822823176,-1.3819747709747703,Experian,NY,14622.0,,6.0683150448525955,Web,2013-07-31,Closed with explanation,Yes,No,469670
88,2013-07-31,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,3.1108979308337465,-1.0722953776601098,Encore Capital Group,NY,14212.0,,35.78749626665811,Web,2013-07-30,Closed with explanation,Yes,No,487029
89,2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,0.7161944102754336,-1.1530200457609063,Ocwen,IN,47265.0,Older American,9.812266200956923,Web,2013-07-30,Closed with explanation,Yes,No,469678
90,2013-07-30,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,1.6576189767890648,-0.7894217151919192,"Fidelity National Information Services, Inc. (FNIS)",CO,81302.0,,99.79872002465787,Web,2013-09-17,Closed with explanation,Yes,No,469732
91,2013-07-31,Credit card,,Payoff process,,1.3642460666798537,-0.5566703624493197,Citibank,NJ,7018.0,,1.442298162206054,Web,2013-07-30,Closed with explanation,Yes,No,480935
92,2013-07-31,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,1.1192509583271346,-0.6610620886119035,Bank of America,NY,14212.0,,34.72923079303189,Web,2013-07-31,Closed with explanation,Yes,Yes,493136
93,2013-07-31,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,0.9958947462210195,-2.4895927618270846,Nationstar Mortgage,CA,95037.0,,87.92951641912528,Web,2013-07-31,Closed with explanation,Yes,Yes,454695
94,2013-07-30,Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,0.6717362291749037,-0.5045789217180533,"Navient Solutions, Inc.",NY,10026.0,,82.26838555789598,Web,2013-07-29,Closed with explanation,Yes,No,469736
95,2013-07-31,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,2.3388999362671847,-1.1551198289522693,Citibank,CA,90045.0,,49.17268604044348,Web,2013-07-31,Closed with explanation,Yes,No,748242
96,2013-07-31,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,4.6388016664214184,-0.5344213670866474,The Moore Law Group,CA,91711.0,,12.542017808787078,Web,2013-07-30,Closed with explanation,Yes,No,470913
97,2013-07-30,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,1.3839989128388135,-4.240182528258073,"Franklin Collection Service, Inc.",IL,60440.0,,19.22555058281872,Phone,2013-08-01,Closed with explanation,Yes,No,469711
98,2013-07-31,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,1.748906410709542,-0.7051055028256548,HSBC North America Holdings Inc.,FL,32747.0,,34.68330774661933,Web,2013-07-31,Closed with explanation,Yes,Yes,482443
99,2013-07-30,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,1.8983068909807181,-2.9641422965820228,EverBank,TN,37217.0,,12.324550812614682,Web,2013-07-30,Closed with explanation,Yes,No,469734
100,2013-07-31,Credit reporting,,Incorrect information on credit report,Account status,0.5379396479994202,-0.8836884264545102,"TransUnion Intermediate Holdings, Inc.",DE,19668.0,,22.418425018415764,Postal mail,2013-08-26,Closed with explanation,Yes,No,501508
101,2013-07-30,Credit card,,Credit determination,,1.9801550251558575,-1.2834793141781027,Wells Fargo & Company,CA,95409.0,Older American,57.43436759239731,Web,2013-07-29,Closed with explanation,Yes,No,469738
102,2013-07-30,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,0.9695526725109485,-3.459504890649248,JPMorgan Chase & Co.,CO,80206.0,,97.37131872314657,Web,2013-07-30,Closed with explanation,Yes,No,469739
103,2013-07-30,Credit card,,Credit determination,,0.5453943291293948,-1.9983043506107017,Bank of America,FL,34983.0,,96.77274061148869,Web,2013-07-31,Closed with explanation,Yes,Yes,469752
